Course Code,Course Name,Short Name,Short Name Alt,Section,Section URL,Call Number,Points,Day/Time,Location,Enrollment,Notes,Instructor,Type,Method of Instruction,Course Description,Number,Division,Open To,Section key
COMSW4732,Spring 2026 Computer Science W4732 section 001,Computer Vision II: Learning,Computer Vision II: Learn,001,https://doc.sis.columbia.edu/subj/COMS/W4732-20261-001/,12363,3,F 9:10am-11:40am 451 Computer Science Building,,"99 students (110 max) as of 11:06AM Monday, April 27, 2026",,Aleksander Holynski,LECTURE,In-Person,"Advanced course in computer vision. Topics include convolutional networks and back-propagation, object and action recognition, self-supervised and few-shot learning, image synthesis and generative models, object tracking, vision and language, vision and audio, 3D representations, interpretability, and bias, ethics, and media deception.",W4732,School of Engineering and Applied Science: Graduate,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4732W001
COMSW4771,Spring 2026 Computer Science W4771 section 001,MACHINE LEARNING,,001,https://doc.sis.columbia.edu/subj/COMS/W4771-20261-001/,12364,3,MW 2:40pm-3:55pm 451 Computer Science Building,,"101 students (110 max) as of 11:06AM Monday, April 27, 2026",,Tony B Dear,LECTURE,In-Person,"Basic statistical principles and algorithmic paradigms of supervised machine learning. Prerequisites: Multivariable calculus (e.g. MATH1201 or MATH1205 or APMA2000), linear algebra (e.g. COMS3251 or MATH2010 or MATH2015), probability (e.g. STAT1201 or STAT4001 or IEOR3658 or MATH2015), discrete math (COMS3203), and general mathematical maturity. Programming and algorithm analysis (e.g. COMS 3134). COMS 3770 is recommended for students who wish to refresh their math background.",W4771,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4771W001
COMSW4771,Spring 2026 Computer Science W4771 section 002,MACHINE LEARNING,,002,https://doc.sis.columbia.edu/subj/COMS/W4771-20261-002/,12366,3,MW 4:10pm-5:25pm 451 Computer Science Building,,"84 students (110 max) as of 11:06AM Monday, April 27, 2026",,Tony B Dear,LECTURE,In-Person,"Basic statistical principles and algorithmic paradigms of supervised machine learning. Prerequisites: Multivariable calculus (e.g. MATH1201 or MATH1205 or APMA2000), linear algebra (e.g. COMS3251 or MATH2010 or MATH2015), probability (e.g. STAT1201 or STAT4001 or IEOR3658 or MATH2015), discrete math (COMS3203), and general mathematical maturity. Programming and algorithm analysis (e.g. COMS 3134). COMS 3770 is recommended for students who wish to refresh their math background.",W4771,Interfaculty,"Barnard College, Business, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4771W002
COMSW4995,Spring 2026 Computer Science W4995 section 001,TOPICS IN COMPUTER SCIENCE,SCIENCE OF BLOCKCHAINS,001,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-001/,12367,3,MW 8:40am-9:55am 451 Computer Science Building,,"56 students (60 max) as of 11:06AM Monday, April 27, 2026",,Timothy A Roughgarden,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W001
COMSW4995,Spring 2026 Computer Science W4995 section 002,TOPICS IN COMPUTER SCIENCE,INNOVATION & DESIGN LAB,002,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-002/,12368,3,T 1:10pm-3:40pm 644 Seeley W. Mudd Building,,"37 students (40 max) as of 11:06AM Monday, April 27, 2026",,Gary Zamchick,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W002
COMSW4995,Spring 2026 Computer Science W4995 section 003,TOPICS IN COMPUTER SCIENCE,INNOVATION & DESIGN LAB,003,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-003/,12369,3,F 1:10pm-3:40pm 644 Seeley W. Mudd Building,,"38 students (40 max) as of 11:06AM Monday, April 27, 2026",,Gary Zamchick,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W003
COMSW4995,Spring 2026 Computer Science W4995 section 004,TOPICS IN COMPUTER SCIENCE,ADV SYSTEMS PROGRAMMING,004,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-004/,12370,3,MW 2:40pm-3:55pm 209 Havemeyer Hall,,"84 students (110 max) as of 11:06AM Monday, April 27, 2026",,Jae W Lee,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W004
COMSW4995,Spring 2026 Computer Science W4995 section 005,TOPICS IN COMPUTER SCIENCE,C++ DEEP DIVE FOR C PRGS,005,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-005/,12372,3,MW 5:40pm-6:55pm 402 Chandler,,"109 students (126 max) as of 11:06AM Monday, April 27, 2026",,Jae W Lee,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W005
COMSW4995,Spring 2026 Computer Science W4995 section 006,TOPICS IN COMPUTER SCIENCE,INTRO TO DATA VISUALIZATION,006,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-006/,12373,3,R 4:10pm-6:40pm 1024 Seeley W. Mudd Building,,"35 students (40 max) as of 11:06AM Monday, April 27, 2026",,Christian Swinehart,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W006
COMSW4995,Spring 2026 Computer Science W4995 section 007,TOPICS IN COMPUTER SCIENCE,COMPETITIVE PROGRAMMING,007,https://doc.sis.columbia.edu/subj/COMS/W4995-20261-007/,12374,3,M 7:00pm-9:30pm 310 Fayerweather,,"78 students (90 max) as of 11:06AM Monday, April 27, 2026",,Yongwhan Lim,LECTURE,In-Person,Selected topics in computer science. Content and prerequisites vary between sections and semesters. May be repeated for credit. Check “topics course” webpage on the department website for more information on each section.,W4995,Interfaculty,"Barnard College, Columbia College, Engineering:Undergraduate, Engineering:Graduate, GSAS, General Studies, Journalism",20261COMS4995W007
